2024-04-14 20:49:04,264 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,289 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,290 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,315 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,316 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,340 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,341 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,361 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,362 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,382 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,383 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,404 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,405 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,425 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,426 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,447 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,447 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,468 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,469 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,489 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,490 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,511 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,512 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,532 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,533 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,554 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,554 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,575 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,576 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,596 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,597 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,618 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,618 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,639 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,640 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,661 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,661 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,682 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,682 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,703 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,704 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,724 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,725 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,745 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,746 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,766 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,767 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,787 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
2024-04-14 20:49:04,788 | DEBUG | Stopping music light temporary | root |  song_light.py | song_light | 69
2024-04-14 20:49:04,808 | DEBUG | Retrieving result from cache... | root |  cache.py | cache | 19
